Data_Rate_bps,Payload_bits,Noise_Level_dB,Latency_ms,Array_Rate_Hz,Label
348580.84137721907,38,35.679927915245955,9.58554713873274,705518.539115027,UART
26494008.302642807,124,22.641185703896262,3.6424019299490253,147675478.8462076,SPI
63819.59603527985,45,37.158732919404244,15.383969751202208,229303.66967900464,UART
630487.5563543646,53,25.310128368380468,18.928089661748587,2029331.0294052318,UART
12992029.365203915,440,16.37372272310153,3.2698407268472844,46571725.084771805,SPI
289935.23509880365,72,35.092507261086574,9.190879365632092,1053148.6251516112,UART
2934343.673566153,168,30.476150367341237,18.066352991764408,15043085.495781135,I2C
1053854.757665229,148,40.91239392057751,24.82100092798821,3667014.67832749,I2C
2375573.683820416,44,41.2617383892033,11.47933790430831,12676729.480931098,I2C
1122427.5588413405,75,37.73428905373233,28.384522294370175,6100236.620681947,I2C
1448207.6888095255,91,42.8458373648245,17.122074983306486,6052081.136555404,I2C
2283106.781135742,153,41.55066467654997,26.851316461097625,5902047.23742543,I2C
699694.9389802585,70,42.58294057028519,28.943342807590994,4000306.5907770367,I2C
649540.1384853164,93,36.26665456787819,13.83161474715,1322797.0686332406,UART
2819529.9408747437,220,37.98806312541182,26.04955118462137,15178323.856479617,I2C
2957889.6839539753,89,36.63119974695054,11.469711822976457,16654620.80427468,I2C
1290885.0033277255,218,38.21589156884558,18.39629310380899,5625482.725838428,I2C
2787142.775165636,42,44.3216952053735,11.370337661084669,14440857.4565273,I2C
42695489.504378274,394,19.815366879938185,2.3020854811489637,144593934.5522445,SPI
818455.1257244516,29,34.19151794239331,12.499578203345806,1971415.6971737016,UART
27837752.058267783,341,16.517017946044223,2.1340114761997127,177975016.4272028,SPI
21374098.31889606,346,18.37002328820971,4.833979343724854,166807984.255654,SPI
315139.1493893004,190,44.976821805198284,16.127751187172112,1170099.4009623535,I2C
911745.6653201766,24,37.86882370960061,10.080337675430592,1881312.3293084628,I2C
32093948.39579533,143,18.287300284161343,4.4558883522119785,245199759.50804904,SPI
2863675.7184160054,216,32.14826646083952,29.62369342308496,6135188.85331621,I2C
917818.9960306778,12,43.45662874286065,27.64907800934243,2708961.2843135246,I2C
48521362.20775728,127,24.08860163083849,2.7358684720989364,431520451.93319476,SPI
3209453.1511864616,17,36.39577432089378,21.986323264687236,7473662.147343805,I2C
1294191.7592703,186,38.74508578672207,25.22475405611698,6805305.892733279,I2C
564204.303653382,25,25.94518852169931,17.12024637930812,1816065.4001323471,UART
976909.068726428,8,29.7014491659408,17.583722414974265,3120477.266843262,UART
6561907.65911058,82,21.144203004807885,3.952363238614806,23985092.827006035,SPI
236668.42948576438,47,25.746158958087086,17.955169536558135,891793.7279273763,UART
22347967.1461746,324,21.540668232503634,2.1882808779172898,99487420.12257971,SPI
1630073.5671416963,65,44.75436581012001,24.49077091956467,4503281.942959171,I2C
36144.32167097145,119,39.53259973863457,14.525618334816322,123405.71738528859,UART
887746.4350403729,82,28.35581598727286,16.528054697219886,2287449.476490562,UART
30641085.674722586,499,15.441179822731632,3.6204219705565635,280695702.7431024,SPI
635418.8985076344,78,25.29757929308708,18.728758821343774,2460131.9658319987,UART
3233257.8556922195,137,35.13889246708119,17.20563544425189,17279777.225115463,I2C
934781.2459472496,64,44.637253828217766,18.511123926523467,3237342.8822304807,I2C
673217.9582826006,41,27.462858088417644,12.852344536547438,1783468.5955742833,UART
7204069.970388503,154,24.56390196749922,4.682232296460853,32062365.95808521,SPI
3023080.894982447,209,43.59729999475958,13.975433975987047,18108113.669840578,I2C
2485241.9497996406,200,30.042808315970973,21.18611271907045,6098029.938691049,I2C
1479062.1312220285,18,31.67640240926679,18.74872922071974,7379236.247224807,I2C
10413960.338654747,412,13.296681183058485,1.0291354343123817,94269858.03184001,SPI
404523.80538631935,74,36.35840837314078,17.289334008121585,1258884.173482918,UART
616916.8904396115,86,36.5112473122161,9.693297700850042,1985685.6147336687,UART
774355.6208500868,61,41.21820705194234,26.360369898129495,1754641.858618213,I2C
21189061.857586402,53,11.494929735719168,3.036132652635073,48087004.80929578,SPI
366380.088826958,123,35.52097265602693,18.805606785257563,1174210.04569831,UART
102053.07486958905,206,42.65955154604201,25.71889298544295,564139.3391390588,I2C
48103459.72493305,12,15.272856242600195,2.12056699362661,350407126.45990604,SPI
22767286.40400606,291,22.40435348056991,2.8135087834481625,130753915.48093735,SPI
98907.21947255757,77,33.10894822624512,19.23946940853224,242306.32069660551,UART
157749.07321465274,13,38.76616354844663,17.536219188053323,353847.05221405457,UART
2142901.3279425576,256,44.891293813711144,26.37929799653583,11394076.834271757,I2C
913127.6327665863,65,44.48433893028085,24.07426816530536,3157169.635098567,I2C
24713454.951861363,41,22.945607002840298,3.8536542039594868,151033549.8567671,SPI
